t_burst,gamma,theta,alpha,q,V,x,z
0.0,21.86292266730294,22.827518926243194,0.9645962589402554,-0.015480590955277042,191.30257904697868,135.84956527338247,61.34150215934568
0.01,27.155041414482113,31.226429985539866,4.0713885710577555,0.19221819795919748,189.3155576218771,129.14463316611256,71.69646545599281
0.02,31.273516949663787,38.537267827594455,7.263750877930667,0.25268788721808194,186.39410958497078,122.13846221108561,78.82238633099767
0.03,34.00977242088971,44.414838468215635,10.40506604732593,0.13007166503702708,182.96329040550802,115.9927852688058,82.73784018639945
0.04,35.57190248217359,48.835532157212306,13.263629675038716,-0.15083136599593586,179.23144595785246,111.03696641801041,84.1623947952794
0.05,36.26353604272196,51.932535664558785,15.668999621836827,-0.5458413482381554,175.26584493202478,107.12696003203133,83.8274510854445
0.06,36.34331794497994,53.89825081246266,17.55493286748273,-1.0040237055181942,171.09150276663735,103.97867235848705,82.28854470833573
0.07,35.99391365288131,54.960241431090765,18.96632777820945,-1.4736399229305261,166.73464202443168,101.32268527231626,79.93473412585269
0.08,35.32985957472015,55.37120559820156,20.041346023481413,-1.909238190849876,162.2302349233482,98.9517359186042,77.03193016565145
0.09,34.41395422242032,55.3859155395618,20.971961317141485,-2.276492844431505,157.61794920815046,96.72270369501882,73.75994384225223
0.1,33.271768265844386,55.22956083542,21.957792569575616,-2.5522168299275085,152.93847772409111,94.54359757958116,70.23952459751615
0.11,31.901942925843787,55.06840063870767,23.166457712863885,-2.7208116929063246,148.23305985985635,92.35824897418117,66.55181585169238
0.12,30.28308711217294,54.98782803211183,24.70474091993889,-2.7699190415229036,143.54503563781373,90.13311732762537,62.752582824065726
0.13,28.37909688071381,54.97764110650772,26.59854422579391,-2.687388307685959,138.92148770795836,87.84715754493588,58.88294365046732
0.14,26.144848296490277,54.92348172369031,28.77863342720003,-2.46072657262879,134.4131480031027,85.48456858386271,54.97789623165923
0.15,23.533940517612226,54.60619525493718,31.072254737324947,-2.079799507456926,130.07077841499947,83.03016795043446,51.07357886243819
0.16,20.509574420821025,53.71555117808426,33.20597675726324,-1.543284976754021,125.93654751641114,80.4674690075847,47.213798406760155
0.17,17.05870902040729,51.88889020709206,34.83018118668477,-0.8681005026299184,122.03072474205518,77.77988183528423,43.455797698849
0.18,13.208434003846426,48.783919849754916,35.57548584590849,-0.09790948714256226,118.33818583382681,74.95542770729493,39.87445133143822
0.19,9.042300323060843,44.181608557324765,35.13930823426392,0.6966615022150001,114.80407733430191,71.99451579965627,36.56322100311191
0.2,4.713352192293865,38.09010188363713,33.376749691343264,1.4323518448805403,111.34787288722578,68.9184873972133,33.62986278811842
0.21,0.44983454762382385,30.80107393031326,30.351239382689435,2.0389062730618077,107.89509837139147,65.77446905466557,31.185990397377644
0.22,-3.4504705274274987,22.861969228027085,26.312439755454584,2.4813177801076916,104.41174750506272,62.63136543286353,29.33245725348515
0.23,-6.63940124084483,14.972348592518031,21.61174983336286,2.7643959790008164,100.9222491122129,59.56421643557118,28.145583694718187
0.24,-8.74907336266751,7.85297788256965,16.60205124523716,2.9194947815631243,97.50289143979982,56.62913820324028,27.669657022362536
0.25,-9.42754801821933,2.1390235092149528,11.566571527434283,2.9853907968276103,94.25742354365003,53.83569046352,27.91739737968147
0.26,-8.370494616020235,-1.6771113889478386,6.693383227072395,2.994491591801656,91.28842505058032,51.124795957463725,28.8742079205636
0.27,-5.340662031612335,-3.2525761268564066,2.088085904755928,2.9675839203466303,88.67649078832947,48.358118627539646,30.49816270040717
0.28,-0.17162503890467595,-2.3619513015245817,-2.1903262626199056,2.914843432251861,86.47403007425164,45.321745451175765,32.70865922098995
0.29,7.2402623308746,1.1554923270883661,-6.084770003786234,2.8400082959254584,84.71456006603817,41.74580805063216,35.36207811461591
0.3,16.944808539430145,7.443488045196336,-9.501320494233811,2.745695373869797,83.4331347093323,37.342403482208184,38.220292196918855
0.31,28.934383423009432,16.641339506489874,-12.293043916519558,2.638380327479525,82.69000279307829,31.864128609284815,40.925253980869975
0.32,43.11657696738844,28.835669754201508,-14.280907213186929,2.5310120830040357,82.58761971817445,25.18189053385488,42.99808494131709
0.33,59.244694785709854,43.924259336841764,-15.320435448868093,2.440655976793458,83.26700511167823,17.380273266491077,43.88223329189753
0.34,76.54268277014219,61.055349514860865,-15.487333255281339,2.38267652008362,84.86496153746036,9.017794173897608,43.12559844194144
